name;latitude;longitude;others
INEENTENDIBLE;-16.772986930964855;35.15625000000001;
INENTENDIBLE;-16.45715879614139;35.20019531250001;
INENTENDIBLE;-16.41500926733237;34.74975585937501;
FSU;-16.26741410165704;35.03540039062501;
FSU;-15.993014907400758;34.98046875000001;SOILHEALT
MUSECO;-15.887376009908698;35.29907226562501;
IFDC;-15.665354182093274;34.85961914062501;
IFDC;-15.31597593426845;34.68383789062501;
AGRA;-15.400727816322217;35.06835937500001;
FSU;-15.209987800730348;34.93652343750001;
MUSECO;-15.199386048560008;35.34301757812501
INENTENDIBLE;-15.453680224345835;35.57373046875001;
INENTENDIBLE;-15.5172052563298;35.32104492187501;
MUSECO;-14.530415228007362;34.94750976562501;
VIAMO;-14.349547837185362;35.39794921875001;
TLC;-14.18212737066278;34.51178703630037;
MUSECO;-14.25743221225718;34.45740748647764;
FSU;-14.325185077106969;34.30203734412709;
SOILHEALT;-14.242373251372314;34.26319480853947;
TLC;-14.272490167478189;34.115593173306436;
TLC;-14.084193690141568;34.216583765834294;
VIAMO;-14.310130649368118;34.107824666188876;
IFDC;-14.136932448379197;34.20104675159923;
TLC;-13.850490475414448;34.40302793665496;
MUSECO;-13.835404730576718;34.496250022065304;
IFDC;-13.69204150151329;34.56616658612305;
SOIL HEALT;-13.684493638672752;34.45740748647764;
AGRA;-14.355290901496991;33.843695424192966;
AGRA;-14.197190344467993;33.96799153807339;
DARS;-14.061587633546589;34.061213623483745;
TLC;-14.038979342732947;34.23988928718686;
MUSECO;-13.850490475414448;34.286500329892036;
VIAMO;-13.616551992891102;34.333111372597216;
AGRA;-13.707136500367469;34.24765779430441;
TLC;-13.842947725342851;34.193278244481725;
TLC;-13.933444541265413;34.068982130601256;
TLC;-14.076658586393352;33.82038990284036;
MUSECO;-14.12939908748528;33.781547367252735;
SEED CO;-14.023905909253958;33.89807497401565;
TLC;-13.873117256234618;34.02237108789608;
TLC;-13.459762677458443;32.995099752121774;
TLC;-13.509172979099544;33.055149117712986;
SEED CO;-13.572044010504493;33.13367521117849;
TLC;-13.73812282737932;33.17062866692692;
INENTENDIBLE;-13.72914858905491;33.0459107537759;
SOIL HEALT;-13.625920216569583;32.93966956849909;
FSU;-13.693248203550825;32.86114347503363;
VIAMO;-12.947098031223451;33.83117168843053;
TLC;-13.037116735541435;33.74340723102798;
TLC;-13.167585652828098;33.54940158834859;
IFDC;-13.374393605430937;33.37849185551196;
VIAMO;-12.82552122499697;33.032053207870206;
FSN;-12.775973058043379;33.12905602920993;
CROP (FSN);-12.690366991435567;33.23067803251817;SOIL HEALT
MUSECO;-12.807504836342751;33.438541221103215;
IFDC;-12.726415173207277;33.57249749819136
INENTENDIBLE;-12.839032670242949;33.535544042442886
VIAMO;-12.505540182629735;33.738788049059416;
TLC;-12.32509379846723;33.965127965518676;
FSU;-12.176131916236178;33.424683675197564;
SOIL HEALT;-12.063226289581968;33.54016322441145;CROP
IFDC;-12.12194317841751;33.50782895063155;
AGRA;-12.036121845254792;33.544782406380016;
INENTENDIBLE;-11.91863773302955;33.39234940141766;
AGRA;-11.203619223165312;33.535544042442886;
AGRA;-11.23986617904806;33.74340723102798;
AGRA;-10.92708782765043;34.07136915079548;
INENTENDIBLE;-10.945229002954209;33.77112232283932
AGRA;-10.913481218303167;33.415445311260434;
IFDC;-10.677534964326844;33.65102359165682;
INENTEDIBLE;-10.650298525472842;33.78497986874497;
INENTENDIBLE;-9.745613182437328;33.364634309606316;
VIAMO;-9.663657737059724;33.32768085385785;
VIAMO;-9.663657737059724;33.32768085385785;
INEENTENDIBLE;-9.51335434717623;33.14291357511558;
VIAMO;-9.392608266378625;33.006647707043165;
VIAMO;-9.393747577912569;32.96738466031044;
VIAMO;-9.414254544200427;32.97084904678685;
VIAMO;-9.421089929336125;33.005492911551016;
